
 0.10   5.1   5.1   5.1   5.1   5.1   5.1   5.1   5.1   5.1   5.1
10.90  83.4  61.7  68.0  83.8  70.7  52.9  90.5  90.4  72.2
11.00  84.3  62.6  69.6  85.0  72.8  52.6  91.1 108.9  71.0
11.10  85.2  64.6  70.6  86.4  75.1  53.9  91.2  91.3  71.9
11.20  86.1  65.9  71.9  88.0  77.0  55.7  85.6  60.7  73.9
11.30  87.0  66.8  73.2  89.2  78.8  58.4  63.0  57.4  76.7
11.40  88.1  68.2  75.1  90.5  80.5  60.7  58.6  55.6  80.1
11.50  88.9  69.9  76.5  90.9  82.1  63.1  57.5  56.4  84.1
11.60  89.7  70.9  77.9  91.0  83.9  66.2  54.7  58.5  87.5
11.70  90.8  72.2  78.8  83.7  85.6  69.0  55.1  62.0  95.3
11.80  91.7  73.2  80.4  61.8  87.4  71.1  55.6  64.7  93.6
11.90  91.8  74.2  81.3  56.3  89.0  73.5  58.4  69.1 109.4
12.00  91.9  76.0  82.6  58.7  90.4  75.3  61.2  73.2  89.0
12.10 108.0  77.3  83.7  53.9  90.8  77.7  63.7  77.3  75.6
12.20 119.1  78.3  84.9  53.9 101.3  79.9  67.1  81.2  70.3
12.30  64.7  79.3  86.2  52.3  88.1  82.5  70.6  84.8  71.2
12.40  54.3  80.4  87.2  53.4  69.8  84.8  73.5  88.7  73.0
12.50  53.1  81.5  88.7  52.6  58.8  86.8  76.8  90.4  75.6
12.60  53.4  82.4  89.6  53.9  56.8  88.7  79.5 101.4  78.9
12.70  52.6  83.5  90.9  55.0  54.7  90.5  82.1 108.9  82.7
12.80  52.6  84.6  90.9  57.6  53.0  90.8  85.2  91.3  86.8
12.90  52.6  85.6  90.7  58.8  53.6  98.9  87.7  60.7  88.3
13.00  52.5  86.6  82.6  61.4  52.7  83.0  90.7  55.7  97.9
13.10  53.1  87.6  65.7  62.9  53.8  58.6  90.6  56.1 111.5
13.20  52.5  88.6  62.1  64.5  54.6  56.9  91.0  56.4 124.3
13.30  53.3  89.8  57.3  66.6  57.5  55.2  91.1  59.5  84.2
13.40  53.8  90.7  54.6  68.5  59.3  52.9  92.0  61.9  74.7
13.50  55.4  91.1  57.9  70.2  61.6  52.7  99.3  65.7  72.3
13.60  56.5  98.0  53.6  71.3  64.0  53.9  67.9  70.0  72.3
13.70  58.1  82.2  52.8  72.7  65.7  55.7  57.1  74.0  73.3
13.80  59.2  57.0  52.4  74.9  67.9  58.6  58.2  77.7  76.3
13.90  60.2  54.7  52.9  76.6  70.4  60.7  54.9  81.6  80.0
14.00  62.0  54.3  52.3  78.3  72.3  63.2  56.1  85.3  83.8
